,person,event,label,Bom,timestamp,mean_conversion,vistas mayor a 2
0,0008ed71,2.0,0,2.0,,0.0,False
1,000c79fe,1.0,0,4.0,,0.0,True
2,001802e4,1.0,0,3.0,,0.0,False
3,0019e639,2.7142857142857144,0,118.0,2.0,0.3333333333333333,True
4,001ca5ee,3.0,0,9.0,,0.0,True
5,001dfc31,1.0,0,3.0,,0.0,True
6,001e9aea,1.75,0,11.0,,0.0,True
7,0020152e,1.0,0,0.0,1.0,0.16666666666666666,False
8,002b0188,1.0,0,13.0,,0.0,True
9,002e74b2,1.0,0,3.0,,0.0,False
10,00317e49,1.0,0,1.0,,0.0,True
11,0031c75f,1.0,0,14.0,,0.0,True
12,003476c0,1.3333333333333333,1,5.0,,0.0,True
13,003847fc,5.0,0,10.0,,0.0,True
14,003a7d49,1.5,0,0.0,,0.0,True
15,003bdb4d,1.0,0,0.0,,0.0,False
16,003d4cac,1.0,1,3.0,,0.0,False
17,003dd965,1.0,1,0.0,,0.0,False
18,0042421c,1.0,1,5.0,,0.0,True
19,004b8d91,1.0,0,10.0,,0.0,False
20,004ed8ba,6.142857142857142,0,71.0,1.0,0.16666666666666666,True
21,0050d971,1.0,0,0.0,,0.0,True
22,00546e55,1.0,0,2.0,,0.0,False
23,00665dda,1.6666666666666667,0,4.0,,0.0,True
24,006671fd,2.0,1,11.0,,0.0,True
25,00702e02,1.5,0,13.0,,0.0,True
26,00736d10,2.25,0,14.0,,0.0,True
27,007537e8,2.0,0,0.0,,0.0,True
28,007ddac1,1.0,0,3.0,,0.0,False
29,00868d8e,1.0,0,6.0,,0.0,True
30,0086ee61,1.0,0,2.0,,0.0,True
31,008bb884,5.0,0,22.0,,0.0,True
32,00971729,2.0,0,20.0,1.0,0.16666666666666666,True
33,009a5ed5,2.0,0,6.0,,0.0,True
34,009cbfb2,2.0,0,21.0,,0.0,True
35,009d27e8,3.0,0,24.0,,0.0,True
36,00a58494,1.0,0,5.0,,0.0,False
37,00a91f61,1.0,0,3.0,,0.0,True
38,00afd018,1.5,0,1.0,,0.0,True
39,00b2b269,2.0,0,7.0,,0.0,True
40,00b9f49d,1.0,0,2.0,,0.0,False
41,00bc3bed,1.0,0,15.0,,0.0,True
42,00beac49,1.3333333333333333,0,6.0,,0.0,True
43,00c2307c,3.0,0,27.0,,0.0,True
44,00c2f60d,2.333333333333333,0,23.0,,0.0,True
45,00c40a4b,1.0,0,5.0,,0.0,False
46,00c955ce,2.571428571428572,0,13.0,,0.0,True
47,00c9a4eb,1.0,0,1.0,,0.0,True
48,00ca06d3,1.0,0,5.0,,0.0,True
49,00d21f5e,1.0,0,0.0,,0.0,True
50,00d4b0c1,1.0,0,3.0,,0.0,True
51,00dabbf1,1.0,0,3.0,,0.0,False
52,00e3c94f,1.0,0,0.0,,0.0,False
53,00e6a700,1.25,0,4.0,,0.0,True
54,00ea5497,3.6666666666666665,0,9.0,,0.0,True
55,00ecfd1a,1.3333333333333333,0,6.0,1.0,0.16666666666666666,True
56,00f49191,1.3333333333333333,0,65.0,,0.0,True
57,00fa4cd7,2.8571428571428568,0,24.0,2.0,0.3333333333333333,True
58,010358c1,1.0,0,6.0,,0.0,True
59,01067e00,1.0,0,3.0,,0.0,False
60,0107bdfc,1.5,0,2.0,,0.0,True
61,01083011,1.0,0,0.0,,0.0,False
62,010dce63,1.0,0,0.0,,0.0,False
63,011120d7,2.0,0,3.0,,0.0,False
64,0111d9af,1.0,0,4.0,,0.0,True
65,011beb42,9.4,0,78.0,1.0,0.16666666666666666,True
66,011d982c,1.0,0,3.0,,0.0,False
67,011e43e5,1.0,0,5.0,,0.0,True
68,011fbf97,2.75,0,7.0,,0.0,True
69,011fef85,1.0,0,0.0,,0.0,False
70,0127932b,2.0,0,4.0,,0.0,False
71,013136c4,1.0,0,0.0,,0.0,False
72,01319a6d,2.25,0,14.0,,0.0,True
73,013288eb,3.0,0,4.0,,0.0,True
74,0132a515,1.0,0,3.0,,0.0,True
75,01395e75,1.0,0,2.0,,0.0,False
76,0143d796,1.0,1,9.0,,0.0,True
77,014412d6,1.0,0,2.0,,0.0,False
78,0145565a,3.0,0,16.0,,0.0,True
79,0146d5e8,2.5,0,25.0,,0.0,True
80,01477f15,1.25,0,34.0,,0.0,True
81,0148562c,1.0,0,19.0,,0.0,True
82,01488a35,1.0,0,4.0,,0.0,True
83,014bca6c,1.0,0,0.0,,0.0,False
84,015d002b,1.5,0,0.0,,0.0,False
85,015dfe12,1.0,0,1.0,,0.0,False
86,015eb48a,2.0,0,0.0,,0.0,True
87,015f1a84,1.5,0,36.0,,0.0,True
88,01605eaa,1.0,0,1.0,,0.0,True
89,0165b04a,1.0,0,2.0,,0.0,False
90,0165d283,1.0,0,0.0,,0.0,True
91,0165db0d,2.4,0,5.0,,0.0,True
92,01692bd2,1.0,0,2.0,,0.0,False
93,016a78e4,3.2,0,46.0,1.0,0.16666666666666666,True
94,016efcb7,1.6,0,27.0,,0.0,True
95,016f7879,2.0,0,5.0,,0.0,True
96,0172d307,2.0,0,6.0,,0.0,True
97,0173b599,1.0,0,5.0,,0.0,True
98,0178b595,2.142857142857143,0,134.0,,0.0,True
99,017a9049,1.0,0,2.0,,0.0,False
100,01855dab,1.0,0,22.0,,0.0,True
101,018774cf,1.3333333333333333,0,3.0,,0.0,True
102,018954fd,1.0,0,4.0,,0.0,True
103,01914d78,1.8571428571428568,0,34.0,,0.0,True
104,0195ed3b,1.0,0,2.0,,0.0,False
105,019c24ae,2.0,0,21.0,,0.0,True
106,019c7c78,1.0,0,0.0,,0.0,False
107,01a46372,1.0,0,5.0,1.0,0.16666666666666666,True
108,01a5aa29,1.6666666666666667,0,22.0,,0.0,True
109,01add051,1.0,0,2.0,,0.0,True
110,01b12d02,1.0,0,6.0,,0.0,False
111,01b47d4f,1.5,0,1.0,,0.0,True
112,01b65cfa,1.0,0,3.0,,0.0,True
113,01b79980,1.0,0,20.0,,0.0,True
114,01b860b1,1.5,0,14.0,,0.0,True
115,01b91332,1.0,0,11.0,,0.0,True
116,01c0bf0e,2.0,0,2.0,,0.0,False
117,01c407bd,2.0,0,0.0,,0.0,True
118,01c6281f,1.0,0,2.0,,0.0,False
119,01c631cf,1.0,0,2.0,,0.0,False
120,01c8b35d,1.0,0,0.0,,0.0,True
121,01cf1230,1.0,0,2.0,,0.0,True
122,01e2b6b0,1.0,0,5.0,,0.0,True
123,01e32ed0,1.0,0,5.0,,0.0,True
124,01e5ebc1,2.0,0,3.0,,0.0,True
125,01ed2afc,1.0,1,4.0,,0.0,True
126,01edff26,1.0,0,8.0,,0.0,True
127,01f12f08,2.0,0,6.0,,0.0,True
128,01f20b0a,2.8571428571428568,0,49.0,,0.0,True
129,01f2283b,1.0,0,2.0,,0.0,False
130,01f24fc9,2.833333333333333,0,56.0,,0.0,True
131,01f38aae,2.333333333333333,0,10.0,1.0,0.16666666666666666,True
132,01f68b1f,1.0,0,0.0,,0.0,False
133,01fcd7ca,1.0,0,1.0,,0.0,False
134,01fee5bd,1.0,0,0.0,,0.0,True
135,01ffc611,1.0,0,2.0,,0.0,False
136,02005e21,5.5,0,11.0,1.0,0.16666666666666666,True
137,0202e763,1.5,0,34.0,,0.0,True
138,0204dcec,1.0,0,11.0,,0.0,True
139,020ca6bf,2.0,0,2.0,,0.0,False
140,02103564,6.2857142857142865,0,267.0,,0.0,True
141,0211b4be,1.0,0,2.0,,0.0,False
142,0211eed9,2.833333333333333,0,43.0,1.0,0.16666666666666666,True
143,021e1312,1.0,0,2.0,,0.0,False
144,021ececb,1.0,0,1.0,,0.0,True
145,022260de,1.3333333333333333,0,12.0,,0.0,True
146,0222a169,1.5,0,2.0,,0.0,True
147,02238440,1.0,0,12.0,,0.0,True
148,0224b8b0,1.0,0,3.0,,0.0,False
149,0225aa7c,1.5,0,1.0,,0.0,False
150,0227ae9b,1.0,0,0.0,,0.0,False
151,0228c93a,2.6666666666666665,0,27.0,,0.0,True
152,02298b4a,2.333333333333333,0,11.0,,0.0,True
153,022b69a7,4.285714285714286,0,88.0,,0.0,True
154,022c05dd,1.0,0,4.0,,0.0,True
155,023039b3,2.0,0,20.0,,0.0,True
156,023215f7,1.0,0,13.0,,0.0,True
157,0234045a,1.5,0,7.0,,0.0,False
158,0234f3d7,1.0,0,9.0,,0.0,True
159,023581f9,1.0,0,0.0,,0.0,False
160,0235896a,1.0,0,5.0,,0.0,True
161,02363ce4,1.0,0,4.0,,0.0,True
162,02417ee2,2.0,0,24.0,1.0,0.16666666666666666,True
163,02481958,1.0,0,3.0,,0.0,False
164,02633ebf,3.0,0,5.0,,0.0,True
165,02648ca1,1.0,0,4.0,,0.0,True
166,02694196,1.3333333333333333,0,5.0,,0.0,True
167,026b4007,1.0,0,2.0,,0.0,False
168,0279a6c7,2.333333333333333,0,11.0,,0.0,True
169,02875920,1.0,1,6.0,,0.0,True
170,0287661f,2.0,0,25.0,,0.0,True
171,02878a11,2.0,0,5.0,,0.0,True
172,028ed1ae,1.0,0,23.0,,0.0,True
173,028f05c4,1.0,0,5.0,,0.0,True
174,0299c90c,1.0,0,1.0,,0.0,False
175,029e5749,1.0,0,0.0,,0.0,True
176,02a11379,1.0,0,13.0,,0.0,True
177,02a510fe,1.0,0,4.0,,0.0,False
178,02a6d3ac,1.0,0,0.0,,0.0,False
179,02a6da92,3.8571428571428568,0,55.0,,0.0,True
180,02a72984,1.0,0,12.0,,0.0,True
181,02a88a33,1.5,0,7.0,,0.0,True
182,02aa734f,1.0,0,4.0,,0.0,True
183,02aa83c1,2.0,0,0.0,,0.0,False
184,02aaf943,1.0,0,0.0,,0.0,True
185,02ac4fca,1.0,0,1.0,,0.0,False
186,02b02d37,1.0,0,3.0,,0.0,False
187,02b0cd5c,1.0,0,1.0,,0.0,True
188,02b8d9d5,2.0,0,3.0,,0.0,True
189,02bda531,1.6666666666666667,0,4.0,,0.0,True
190,02c30caa,2.4285714285714284,0,5.0,1.0,0.16666666666666666,False
191,02c3960c,1.0,0,0.0,1.0,0.16666666666666666,False
192,02c9e5c7,1.0,0,46.0,,0.0,True
193,02c9f7a6,1.0,0,7.0,,0.0,True
194,02ce5246,1.0,0,0.0,,0.0,False
195,02d1f846,1.0,0,2.0,,0.0,False
196,02d90731,1.0,0,2.0,,0.0,False
197,02d93f65,1.5,0,17.0,,0.0,True
198,02dbbcba,1.5,0,11.0,,0.0,True
199,02dd38ce,8.142857142857142,0,65.0,1.0,0.16666666666666666,True
200,02e0a3c2,1.0,0,2.0,,0.0,True
201,02e5a11c,1.0,0,0.0,,0.0,True
202,02e72974,1.0,0,0.0,,0.0,True
203,02ea26c5,1.0,0,5.0,,0.0,False
204,02eb0a9e,1.0,0,12.0,,0.0,True
205,02ec2f23,1.0,0,2.0,,0.0,True
206,02f01ea9,1.0,0,4.0,,0.0,True
207,02f14240,42.0,0,196.0,,0.0,True
208,02f578dc,1.0,0,7.0,,0.0,True
209,02f82b20,1.0,0,2.0,,0.0,False
210,02fb0bea,1.0,0,1.0,,0.0,True
211,02fb1a77,1.3333333333333333,0,5.0,,0.0,True
212,02fc0bf8,5.428571428571429,0,95.0,1.0,0.16666666666666666,True
213,02fe14e6,1.6666666666666667,0,9.0,,0.0,True
214,02ff33f4,1.0,0,0.0,,0.0,False
215,03020198,2.0,0,5.0,,0.0,True
216,03066c47,1.0,0,0.0,,0.0,False
217,030712a0,1.0,0,1.0,,0.0,True
218,0307f75d,2.5,0,41.0,1.0,0.16666666666666666,True
219,030cdb09,1.0,0,16.0,,0.0,True
220,0310a8cd,1.0,0,3.0,,0.0,False
