,person,label,periodo,ad campaign hit_mean,brand listing_mean,checkout_mean,conversion_mean,generic listing_mean,lead_mean,search engine hit_mean,searched products_mean,staticpage_mean,viewed product_mean,visited site_mean,Bom,Bom - Sem Touch ID,Excelente,Muito Bom,Novo,visitas_dom,visitas_lun,visitas_mar,visitas_mier,visitas_jue,visitas_vier,visitas_sab,conversiones_mean
0,0566e9c1,0,11.0,6.0,3.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,23.0,17.0,16.0,2.0,1.0,6.0,0.0,1.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0
1,6ec7ee77,0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,abe7a2fb,0,9.0,2.3333333333333335,4.333333333333333,0.3333333333333333,0.0,2.6666666666666665,0.0,1.0,2.0,0.0,7.333333333333333,5.333333333333333,4.666666666666667,0.0,1.0,2.0,0.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.0
3,34728364,0,10.5,0.0,2.5,0.0,0.0,1.5,0.0,0.5,0.0,0.0,12.0,2.0,13.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
4,87ed62de,0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,db2c4d27,1,8.0,1.0,3.3333333333333335,0.0,0.0,47.0,0.0,23.333333333333332,0.6666666666666666,3.0,17.333333333333332,26.666666666666668,3.3333333333333335,1.3333333333333333,5.333333333333333,7.333333333333333,0.0,6.666666666666667,4.666666666666667,2.6666666666666665,4.0,5.666666666666667,2.3333333333333335,0.6666666666666666,1.0
6,cde431db,0,11.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
7,be65035b,0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
8,a4178891,0,11.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,d066f64c,0,10.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,1.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,47a783b9,0,10.5,9.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0,1.0,15.5,3.0,30.0,0.0,1.0,1.0,0.0,0.0,1.5,0.5,0.0,0.0,1.0,0.0,0.0
11,7fc00648,0,10.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,35.0,1.0,9.0,0.0,22.0,4.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
12,ce16abb3,0,11.0,6.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
13,4b38d082,0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0566e256,0,10.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,e0ffa75e,0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,79ed8b5b,0,10.5,7.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.5,9.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0
17,20f4c917,0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,c4af15f2,0,10.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,de1a55e7,0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,57bab525,0,11.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,46.0,4.0,15.0,0.0,7.0,26.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,16426a08,0,10.5,2.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0
